K,N,h,l2phi,relL2phi,l2u,relL2u,l2divu_f
20,2,0.1,21.726003923558373,0.13428007350973734,117.01721072229161,0.04335647950203694,5.005191293982434e-11
20,3,0.1,2.7390121777311913,0.016928780730403697,9.393143620628923,0.003480288380945879,1.0680587085827322e-10
20,4,0.1,0.3088955947516686,0.0019091648568244654,0.8291788935474501,0.00030722213834792096,1.7274161263057293e-10
20,5,0.1,0.03075285301099257,0.00019007155561048448,0.06932299625255098,2.5685119714368202e-05,2.2554460613840956e-10
20,6,0.1,0.00268773051949389,1.6611828525937823e-05,0.005556717057941185,2.058839787191673e-06,2.8048769850934487e-10
20,7,0.1,0.00022470701600182957,1.388827634066699e-06,0.000427403672103634,1.5835891519098097e-07,4.017864674216611e-10
20,8,0.1,1.7185661727171443e-05,1.0621796480188141e-07,5.312261973988393e-05,1.9682658299836083e-08,4.25282804176509e-10
20,9,0.1,7.132422016718046e-06,4.408275705358085e-08,4.369716185347828e-05,1.619039704077147e-08,5.49825153381939e-10
20,10,0.1,7.033920932591631e-06,4.347395974028655e-08,4.363461041516363e-05,1.6167220876031496e-08,6.610446362503576e-10
20,11,0.1,1.0133431588561962e-05,6.263084290169504e-08,8.49332119635033e-05,3.146891846770278e-08,7.367683403052038e-10
20,12,0.1,7.0338321962843996e-06,4.34734112953033e-08,4.362385019256902e-05,1.616323406616412e-08,8.115155896828249e-10
20,13,0.1,7.033807590016346e-06,4.3473259213425073e-08,4.3623822359842934e-05,1.6163223753757847e-08,9.537013735057207e-10
20,14,0.1,7.0338404538407535e-06,4.3473462332082916e-08,4.362371312631962e-05,1.616318328124115e-08,1.0667914746625304e-09
20,15,0.1,7.033843550057371e-06,4.3473481468606896e-08,4.362378683485298e-05,1.616321059126244e-08,1.1680730183517464e-09
20,16,0.1,7.03411135036849e-06,4.347513663932257e-08,4.362267192565893e-05,1.6162797502133753e-08,0.0
20,17,0.1,7.033994892436594e-06,4.347441685764018e-08,4.362403929567878e-05,1.6163304131456666e-08,0.0
20,18,0.1,7.0338301233783734e-06,4.3473398483468476e-08,4.362423907727376e-05,1.616337815327426e-08,0.0
20,19,0.1,7.033809575414633e-06,4.3473271484408215e-08,4.362376766263728e-05,1.6163203487693896e-08,0.0
20,20,0.1,7.033847509958185e-06,4.347350594323068e-08,4.362305611213256e-05,1.6162939848484908e-08,0.0
19,2,0.10526315789473684,22.89619130666533,0.14896078780381267,122.68473059066066,0.04782876389811399,5.2275236697313847e-11
19,3,0.10526315789473684,3.0278594822063143,0.019699011411448003,9.96726334917455,0.0038857475020961144,1.0787763438858797e-10
19,4,0.10526315789473684,0.35937407713590475,0.0023380589779946758,0.9846440839113618,0.00038386447267184446,1.309930564200583e-10
19,5,0.10526315789473684,0.037447441286390416,0.00024363005534609863,0.08771963449994895,3.4197586509158424e-05,1.9832264796235154e-10
19,6,0.10526315789473684,0.00349808002757699,2.275822863853169e-05,0.007420342070409566,2.8928277155615205e-06,2.631711970404618e-10
19,7,0.10526315789473684,0.0002976134883420821,1.936249531229748e-06,0.0006124156032113095,2.3875083029888117e-07,3.097460152446217e-10
19,8,0.10526315789473684,2.4325110314216466e-05,1.582572204821462e-07,6.036417439736326e-05,2.3533033257325728e-08,3.9559486650603677e-10
19,9,0.10526315789473684,6.856077279089133e-06,4.4605089949594807e-08,4.133531053926135e-05,1.611461180963015e-08,4.92317441869724e-10
19,10,0.10526315789473684,6.632168565784123e-06,4.31483577846979e-08,4.1205780889798716e-05,1.6064114547321086e-08,5.844350540158297e-10
19,11,0.10526315789473684,9.640953248523015e-06,6.272327007774625e-08,8.005285046131174e-05,3.1208683147864967e-08,6.558265088000653e-10
19,12,0.10526315789473684,6.6313934687924e-06,4.3143315065716173e-08,4.1203764850846996e-05,1.6063328592536272e-08,7.188543093740832e-10
19,13,0.10526315789473684,6.631385108201015e-06,4.3143260672377885e-08,4.120362326549263e-05,1.606327339534545e-08,8.14446152340983e-10
19,14,0.10526315789473684,6.6314733309458304e-06,4.3143834642493435e-08,4.120372239125265e-05,1.6063312039621306e-08,9.568737812995062e-10
19,15,0.10526315789473684,6.631505717630285e-06,4.314404534766995e-08,4.120445528528583e-05,1.6063597759087017e-08,1.0992170059198021e-09
19,16,0.10526315789473684,6.63129640440638e-06,4.314268357259072e-08,4.120658486509382e-05,1.6064427977887257e-08,0.0
19,17,0.10526315789473684,6.63133015168898e-06,4.314290312970985e-08,4.1203420109351046e-05,1.6063194194722166e-08,0.0
19,18,0.10526315789473684,6.6314321303040976e-06,4.314356659441643e-08,4.120347827469586e-05,1.606321687053953e-08,0.0
19,19,0.10526315789473684,6.631495888961393e-06,4.314398140313692e-08,4.120366020294237e-05,1.6063287795446866e-08,0.0
19,20,0.10526315789473684,6.631353171042657e-06,4.3143052891782176e-08,4.1204411753247296e-05,1.606358078807862e-08,0.0
18,2,0.1111111111111111,24.193837217820786,0.16614407921848526,131.89416082192872,0.0543122564933882,4.545634861945364e-11
18,3,0.1111111111111111,3.3743478335917922,0.023172343796793404,10.88080431963573,0.004480570113033912,8.232242962119005e-11
18,4,0.1111111111111111,0.4171351200179793,0.002864553059571341,1.1522607071196036,0.00047448559270811866,1.2222979076433e-10
18,5,0.1111111111111111,0.047246810667495115,0.0003244536112105055,0.10280024684052481,4.2331770710640305e-05,1.8553282196446199e-10
18,6,0.1111111111111111,0.004366659409356138,2.9986752423622272e-05,0.00975497969737199,4.016970547519303e-06,2.3386505771002715e-10
18,7,0.1111111111111111,0.0004377111292661378,3.005852766589633e-06,0.000762460158479859,3.1397092513638053e-07,3.090970661753874e-10
18,8,0.1111111111111111,3.0938482198241406e-05,2.1246094990909895e-07,7.814850489895447e-05,3.218051213334034e-08,3.373127812404227e-10
18,9,0.1111111111111111,6.997572955829329e-06,4.805377935890558e-08,3.959369806412308e-05,1.630415684348394e-08,4.3325195187248666e-10
18,10,0.1111111111111111,6.339923527281295e-06,4.353756484646794e-08,3.9367227200047714e-05,1.6210899161860363e-08,5.323698613808211e-10
18,11,0.1111111111111111,9.192593537780498e-06,6.31274392405748e-08,7.546711391282687e-05,3.10763510841318e-08,5.850686769776019e-10
18,12,0.1111111111111111,6.343076178409527e-06,4.355921475318102e-08,3.937245922867728e-05,1.621305364147598e-08,6.472122737155959e-10
18,13,0.1111111111111111,6.343260067279787e-06,4.356047755604907e-08,3.937216389492138e-05,1.6212932026973853e-08,7.386530358262911e-10
18,14,0.1111111111111111,6.343090579740183e-06,4.35593136500943e-08,3.9372224678399775e-05,1.621295705679965e-08,8.781344258990692e-10
18,15,0.1111111111111111,6.34305647310637e-06,4.355907943279264e-08,3.937206970014164e-05,1.6212893238819735e-08,9.59495176164394e-10
18,16,0.1111111111111111,6.3431822565605695e-06,4.355994321376259e-08,3.937302232455719e-05,1.621328551684991e-08,0.0
18,17,0.1111111111111111,6.342981686575697e-06,4.3558565858233764e-08,3.9373610268431774e-05,1.6213527624296677e-08,0.0
18,18,0.1111111111111111,6.3432602344400246e-06,4.356047870397296e-08,3.937290386353176e-05,1.621323673617943e-08,0.0
18,19,0.1111111111111111,6.3430906571805686e-06,4.355931418189343e-08,3.9372494070796416e-05,1.6213067988995986e-08,0.0
18,20,0.1111111111111111,6.343155163423247e-06,4.355975715959048e-08,3.937282222494343e-05,1.6213203118497484e-08,0.0
17,2,0.11764705882352941,25.592907357685934,0.1860942762425441,142.2543209590252,0.06199082595103912,4.144642570896865e-11
17,3,0.11764705882352941,3.7615522337503724,0.027351458382788196,12.44870507242769,0.005424830010492013,7.194752986222671e-11
17,4,0.11764705882352941,0.49663090158584794,0.0036111633156264036,1.3767868574801057,0.000599968801498205,1.070545620400646e-10
17,5,0.11764705882352941,0.057862878444222304,0.0004207396344188336,0.13708185553979788,5.9736796678821456e-05,1.7976622622421436e-10
17,6,0.11764705882352941,0.006037941742522625,4.390382002582257e-05,0.012940254366837404,5.639034728849114e-06,1.9969415832450639e-10
17,7,0.11764705882352941,0.0005741397016499884,4.174754776681435e-06,0.001187933499990494,5.176712970323828e-07,2.6603265511426125e-10
17,8,0.11764705882352941,5.0823473273315284e-05,3.6955385110201344e-07,0.00010259072994925618,4.470643873310698e-08,3.272260616013869e-10
17,9,0.11764705882352941,7.26905320630927e-06,5.2855628182095667e-08,3.7780046446924426e-05,1.646358625822029e-08,3.750215634067627e-10
17,10,0.11764705882352941,5.985253027629662e-06,4.352070340186421e-08,3.701980825050446e-05,1.6132293729474e-08,4.718108568341502e-10
17,11,0.11764705882352941,8.649410427917285e-06,6.2892650335195e-08,7.145129044818081e-05,3.113666059694692e-08,5.400505086698631e-10
17,12,0.11764705882352941,5.980999581153954e-06,4.348977522194426e-08,3.702563049243159e-05,1.613483091487207e-08,5.760447639706057e-10
17,13,0.11764705882352941,5.980999714712124e-06,4.3489776193088746e-08,3.7025928167878593e-05,1.613496063428376e-08,6.885286905319247e-10
17,14,0.11764705882352941,5.980932636322161e-06,4.348928844450054e-08,3.702586073090386e-05,1.613493124696016e-08,7.889874181393844e-10
17,15,0.11764705882352941,5.980925884658277e-06,4.348923935097684e-08,3.702480959539978e-05,1.6134473188760977e-08,8.552425892204792e-10
17,16,0.11764705882352941,5.980852582724442e-06,4.3488706348995725e-08,3.7025682581445615e-05,1.613485361394357e-08,0.0
17,17,0.11764705882352941,5.980898026790792e-06,4.348903678744567e-08,3.702601184184306e-05,1.6134997097275766e-08,0.0
17,18,0.11764705882352941,5.980993589345629e-06,4.348973165357517e-08,3.7025921529054995e-05,1.6134957741252774e-08,0.0
17,19,0.11764705882352941,5.980932638330094e-06,4.348928845910087e-08,3.7026037076990676e-05,1.6135008094113213e-08,0.0
17,20,0.11764705882352941,5.980901995935143e-06,4.348906564837324e-08,3.702600432596365e-05,1.6134993822046097e-08,0.0
16,2,0.125,27.104469991779684,0.20934801303925774,162.6083175970079,0.07552085417163873,3.307627652420983e-11
16,3,0.125,4.278834494245765,0.03304862628805722,14.063242593636097,0.006531449982321894,6.637533835130737e-11
16,4,0.125,0.5719350863885055,0.004417480731376889,1.7162758059781011,0.0007970970782860427,1.0292839926309274e-10
16,5,0.125,0.07760235188455625,0.000599380772954876,0.16219575923386312,7.532924798297153e-05,1.6491999496723818e-10
16,6,0.125,0.007354640362204936,5.680536630721384e-05,0.018833596886134094,8.746965376581289e-06,1.881559197291924e-10
16,7,0.125,0.000907877593464262,7.012214971635634e-06,0.001422207398480482,6.605216702915234e-07,2.517411014499545e-10
16,8,0.125,6.698688262713189e-05,5.173895959573141e-07,0.00017410571149995425,8.086063642343098e-08,2.9291156055333145e-10
16,9,0.125,9.324491684569027e-06,7.201999549733436e-08,3.6064454886792126e-05,1.674956409693023e-08,3.2259820755662235e-10
16,10,0.125,5.645276495231956e-06,4.360267578345795e-08,3.483267111122134e-05,1.6177481658217492e-08,4.1446390752327156e-10
16,11,0.125,8.134185342773835e-06,6.282637290894118e-08,6.751930558687104e-05,3.1358270636767396e-08,4.90524015408807e-10
16,12,0.125,5.621220526528409e-06,4.3416873616828265e-08,3.479170887461181e-05,1.61584573970773e-08,5.500391759660754e-10
16,13,0.125,5.621214683737633e-06,4.3416828488602554e-08,3.4789756393638616e-05,1.615755059825527e-08,6.002569229376989e-10
16,14,0.125,5.621213282742789e-06,4.341681766767571e-08,3.478941475969737e-05,1.615739193178951e-08,6.67868756628518e-10
16,15,0.125,5.621278724265976e-06,4.34173231213095e-08,3.478829585410304e-05,1.6156872273831848e-08,7.936535461317796e-10
16,16,0.125,5.621252029353154e-06,4.341711693661158e-08,3.4789837973595104e-05,1.6157588486772218e-08,0.0
16,17,0.125,5.6211883452110925e-06,4.341662505654137e-08,3.478986476097201e-05,1.6157600927744582e-08,0.0
16,18,0.125,5.621212079050273e-06,4.3416808370661726e-08,3.478953989820928e-05,1.615745005038669e-08,0.0
16,19,0.125,5.6212132795739055e-06,4.341681764320006e-08,3.478956488764731e-05,1.6157461656334856e-08,0.0
16,20,0.125,5.621377391364284e-06,4.341808520081113e-08,3.478834965188485e-05,1.6156897259358385e-08,0.0
15,2,0.13333333333333333,28.925750991954725,0.23837205353407875,166.58010965715053,0.08228498094384384,3.2230486800913167e-11
15,3,0.13333333333333333,4.792973574959278,0.03949805672860112,16.030545410074954,0.007918551178182751,5.2166225557690854e-11
15,4,0.13333333333333333,0.7125739758705013,0.005872197474507677,2.0283994573534696,0.0010019612247726053,7.988326323760753e-11
15,5,0.13333333333333333,0.09413515159984061,0.0007757513159411818,0.22741645924184647,0.00011233609494882763,1.261786752197317e-10
15,6,0.13333333333333333,0.011125779848707879,9.16856053432184e-05,0.02455327576636631,1.21284938081902e-05,1.6186749383335957e-10
15,7,0.13333333333333333,0.0011993403621206901,9.883554106668845e-06,0.0025486640452099187,1.2589544623544193e-06,2.184182324746059e-10
15,8,0.13333333333333333,0.00011956091070501052,9.852805486393363e-07,0.00023182090681172674,1.1451174416109959e-07,2.580606758887212e-10
15,9,0.13333333333333333,1.2308431056771735e-05,1.0143162705097458e-07,3.9498400111387565e-05,1.9510883425200892e-08,2.829873602572083e-10
15,10,0.13333333333333333,5.371134304518156e-06,4.426257815506444e-08,3.2627486905629284e-05,1.6116883004825038e-08,3.3508120886348523e-10
15,11,0.13333333333333333,7.666546550763512e-06,6.317866890745193e-08,6.300196209826534e-05,3.1120853872351894e-08,4.275870366576418e-10
15,12,0.13333333333333333,5.280796241571792e-06,4.3518117982438146e-08,3.260652663564673e-05,1.610652933523242e-08,4.945721346275288e-10
15,13,0.13333333333333333,5.281020875765158e-06,4.3519969153527245e-08,3.260602171262488e-05,1.6106279920213323e-08,5.05465486969481e-10
15,14,0.13333333333333333,5.281002589987364e-06,4.3519818463631435e-08,3.260611324883037e-05,1.6106325136025342e-08,6.067750708200168e-10
15,15,0.13333333333333333,5.2811059727531844e-06,4.3520670422918346e-08,3.2606111111187063e-05,1.6106324080101324e-08,6.361993421085373e-10
15,16,0.13333333333333333,5.280927148359749e-06,4.351919676237632e-08,3.2606556095988776e-05,1.6106543887652204e-08,0.0
15,17,0.13333333333333333,5.280815839768483e-06,4.351827948774849e-08,3.2607478418812414e-05,1.6106999484158434e-08,0.0
15,18,0.13333333333333333,5.280930426624404e-06,4.351922377798183e-08,3.260714839802727e-05,1.6106836464971617e-08,0.0
15,19,0.13333333333333333,5.281010331777276e-06,4.351988226236771e-08,3.260650554465482e-05,1.610651891699058e-08,0.0
15,20,0.13333333333333333,5.280964059884128e-06,4.351950094379128e-08,3.2606126871814404e-05,1.6106331865322038e-08,0.0
14,2,0.14285714285714285,30.738780696485495,0.2708293640033347,185.02830703059942,0.09844200608778267,2.382361972903765e-11
14,3,0.14285714285714285,5.639187859748885,0.04968504367922879,17.95540164136771,0.009552947795148925,4.481159602348291e-11
14,4,0.14285714285714285,0.8151899802689353,0.007182372849400925,2.5560904661047235,0.001359936094446301,7.478252988589449e-11
14,5,0.14285714285714285,0.13203692874908285,0.001163334284178561,0.26880381471594456,0.0001430137214643059,1.0251770033075972e-10
14,6,0.14285714285714285,0.014308862875750497,0.00012607072058305518,0.03835112279740377,2.0404237192047402e-05,1.3673748375525401e-10
14,7,0.14285714285714285,0.001904861796427362,1.678311556774457e-05,0.0030795412686274054,1.6384315739518816e-06,1.740091311093531e-10
14,8,0.14285714285714285,0.00018382298979486303,1.6196043657979688e-06,0.0004339350566598975,2.308697419057694e-07,2.1368700772846648e-10
14,9,0.14285714285714285,2.0205149981656e-05,1.7802098180652753e-07,4.3420333357324805e-05,2.310124752959252e-08,2.4340903764384267e-10
14,10,0.14285714285714285,5.1877873954731e-06,4.570790151937082e-08,3.154543082504235e-05,1.6783353548205926e-08,3.040969510724569e-10
14,11,0.14285714285714285,7.108103611707289e-06,6.26271809359242e-08,5.822863701589645e-05,3.097982104248622e-08,3.795179923540417e-10
14,12,0.14285714285714285,4.8855715913143655e-06,4.304517670799193e-08,3.1377379581404667e-05,1.6693943977234146e-08,4.0107744310915545e-10
14,13,0.14285714285714285,4.884614108913023e-06,4.303674064306273e-08,3.137736994964233e-05,1.6693938852774968e-08,4.6543523649100553e-10
14,14,0.14285714285714285,4.884328505580802e-06,4.303422428531951e-08,3.137718998000273e-05,1.669384310216988e-08,5.01907032108803e-10
14,15,0.14285714285714285,4.884308415929179e-06,4.3034047281956045e-08,3.1377256021974706e-05,1.6693878238978462e-08,5.7607237902501e-10
14,16,0.14285714285714285,4.884542665607784e-06,4.3036111179418375e-08,3.137693563851978e-05,1.6693707782951887e-08,0.0
14,17,0.14285714285714285,4.884428533876416e-06,4.303510560198431e-08,3.137863220018162e-05,1.6694610417452108e-08,0.0
14,18,0.14285714285714285,4.884354657772516e-06,4.303445470374498e-08,3.13775674399174e-05,1.6694043925015927e-08,0.0
14,19,0.14285714285714285,4.884288889991464e-06,4.303387524529183e-08,3.137721103004543e-05,1.66938543015829e-08,0.0
14,20,0.14285714285714285,4.884437147201909e-06,4.303518149118396e-08,3.1377133398858625e-05,1.6693812998876917e-08,0.0
13,2,0.15384615384615385,33.07791061451805,0.3145157537988835,195.23032356163162,0.11128919388909146,2.3705121823501623e-11
