K,N,h,l2phi,relL2phi,l2u,relL2u,l2divu_f
20,2,0.1,0.4167781255261073,0.001344445566595002,2.439838042179007,0.0009238700324126954,3.3445554439950907e-12
20,3,0.1,0.02204868913492729,7.112480368125152e-05,0.09812553042620054,3.7156251934822316e-05,5.120898298761741e-12
20,4,0.1,0.0008722215748242824,2.8136179841030577e-06,0.005060798935328162,1.916324114792505e-06,7.001185584741038e-12
20,5,0.1,2.7540065358543983e-05,8.883892053665783e-08,0.00012219232631333152,4.626939432867393e-08,1.2768877511044405e-11
20,6,0.1,8.092539613226454e-07,2.6104966501691334e-09,4.790056797458179e-06,1.8138047904089758e-09,8.927697579119663e-12
20,7,0.1,4.029887674635074e-07,1.2999637663804363e-09,2.4513891876790204e-06,9.282439937097208e-10,1.050544503429426e-11
20,8,0.1,4.0096204646818107e-07,1.2934259567162368e-09,2.429361053788791e-06,9.199028118692319e-10,1.2823678418796527e-11
20,9,0.1,4.008503994168875e-07,1.293065804937768e-09,2.4293627822946055e-06,9.199034663859234e-10,2.3285381944624343e-11
20,10,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.429362782294602e-06,9.19903466385922e-10,1.63189887386964e-11
20,11,0.1,4.0085039941629643e-07,1.2930658049358614e-09,3.316864057979367e-06,1.2559650484083548e-09,1.8944097606637638e-11
20,12,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.429362782294602e-06,9.19903466385922e-10,2.2888620249170278e-11
20,13,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.429362782294602e-06,9.19903466385922e-10,2.0384012200786003e-11
20,14,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.429362782294602e-06,9.19903466385922e-10,2.6935978655059347e-11
20,15,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.429362782294602e-06,9.19903466385922e-10,2.6399272351184854e-11
20,16,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.4288975364067796e-06,9.197272961951013e-10,0.0
20,17,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.429364395753659e-06,9.199040773389629e-10,0.0
20,18,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.429362780938259e-06,9.199034658723286e-10,0.0
20,19,0.1,4.0085039941629653e-07,1.2930658049358619e-09,2.429362782294602e-06,9.19903466385922e-10,0.0
20,20,0.1,4.0085039941629643e-07,1.2930658049358614e-09,2.4293548067726657e-06,9.199004463716496e-10,0.0
19,2,0.10526315789473684,0.43877457079078663,0.001489896675580462,2.5653981250961113,0.0010220019551249685,4.588548452371403e-12
19,3,0.10526315789473684,0.02442470014106832,8.293616349881562e-05,0.10975801237408146,4.372533921328069e-05,6.437013539671532e-12
19,4,0.10526315789473684,0.001017033930679576,3.4534259119463263e-06,0.005904269508063582,2.3521397797075456e-06,6.115815037663392e-12
19,5,0.10526315789473684,3.388567066679474e-05,1.1506170010099401e-07,0.00015260311696071202,6.079394943276844e-08,7.406961822252533e-12
19,6,0.10526315789473684,1.0329049989102076e-06,3.507317484906245e-09,6.039531421044741e-06,2.40602534942414e-09,7.740365297077516e-12
19,7,0.10526315789473684,4.53449651576829e-07,1.5397271706285088e-09,2.724857478320323e-06,1.085527288352536e-09,8.317608747008428e-12
19,8,0.10526315789473684,4.517645938671431e-07,1.5340054126986964e-09,2.721640539378368e-06,1.0842457259096414e-09,1.6293583131511736e-11
