K,N,h,l2phi,relL2phi,l2u,relL2u,l2divu_f
20,2,0.1,19.691194452136667,0.1217036988408302,117.01721072229161,0.04335647950203694,8.77783411979228e-11
20,3,0.1,2.394095471977417,0.014796983241720948,9.393143620628923,0.003480288380945879,1.951674066490765e-10
20,4,0.1,0.2634811953900895,0.0016284759226730342,0.8291788935474501,0.00030722213834792096,3.2131260910892356e-10
20,5,0.1,0.025335897197499922,0.0001565914353180429,0.06932299625255536,2.5685119714369828e-05,5.265803844879243e-10
20,6,0.1,0.00213599877954842,1.3201786860742412e-05,0.005556717057940745,2.05883978719151e-06,7.143631531145545e-10
20,7,0.1,0.00017186303408448983,1.0622193078704007e-06,0.000427403672105955,1.5835891519184095e-07,1.0340381168385792e-09
20,8,0.1,1.3542604028332634e-05,8.370162643972907e-08,5.312261974061449e-05,1.9682658300106766e-08,1.2993293252551994e-09
20,9,0.1,7.0965446020414194e-06,4.3861012553438664e-08,4.3697161853503736e-05,1.6190397040780903e-08,1.767308967500991e-09
20,10,0.1,7.033749698540191e-06,4.347290140847847e-08,4.363461055172511e-05,1.6167220926629397e-08,2.3432364419285465e-09
20,11,0.1,7.0337731958085655e-06,4.3473046636056254e-08,8.493321196355155e-05,3.146891846772065e-08,2.8220809798740473e-09
20,12,0.1,7.033833363728322e-06,4.347341851082513e-08,4.362385018956086e-05,1.6163234065049555e-08,3.3054066471023944e-09
20,13,0.1,7.033807906385094e-06,4.3473261168778616e-08,4.3623822359842914e-05,1.616322375375784e-08,4.163463722436342e-09
20,14,0.1,7.0338079071577255e-06,4.347326117355395e-08,4.362371331520564e-05,1.616318335122601e-08,4.995570882117458e-09
20,15,0.1,7.033807907357909e-06,4.347326117479121e-08,4.3623786778185603e-05,1.61632105702664e-08,5.892222908921345e-09
20,16,0.1,7.033807496650466e-06,4.347325863636648e-08,4.36226719257014e-05,1.616279750214949e-08,0.0
20,17,0.1,7.03380790735826e-06,4.347326117479338e-08,4.3624039295677966e-05,1.6163304131456365e-08,0.0
20,18,0.1,7.033807907584571e-06,4.347326117619212e-08,4.362423907729455e-05,1.6163378153281963e-08,0.0
20,19,0.1,7.033807459417272e-06,4.3473258406242426e-08,4.362376766263903e-05,1.6163203487694544e-08,0.0
20,20,0.1,7.0338079075844395e-06,4.3473261176191306e-08,4.362305611151822e-05,1.6162939848257288e-08,0.0
19,2,0.10526315789473684,20.777596419944075,0.1351773790640693,122.68473059066066,0.04782876389811399,8.536725849085964e-11
19,3,0.10526315789473684,2.6477319628817306,0.017225932199884327,9.96726334919977,0.003885747502105947,1.6014529644710033e-10
19,4,0.10526315789473684,0.30658236314483045,0.0019946003127390825,0.9846440839113674,0.00038386447267184663,2.762183632822006e-10
19,5,0.10526315789473684,0.030874311211569444,0.00020086579725758292,0.08771963449994896,3.4197586509158424e-05,4.6113472592396234e-10
19,6,0.10526315789473684,0.0027783020133811736,1.8075410496316913e-05,0.007420342070409434,2.892827715561469e-06,6.275191707877179e-10
19,7,0.10526315789473684,0.00022779364191804368,1.4820071994652372e-06,0.0006124156032113094,2.3875083029888117e-07,9.353870010013488e-10
19,8,0.10526315789473684,1.850217162025372e-05,1.2037364746476458e-07,6.036417439736325e-05,2.3533033257325724e-08,1.2136531908541504e-09
19,9,0.10526315789473684,6.749469586613753e-06,4.391150883628291e-08,4.133531053935403e-05,1.611461180966628e-08,1.5586548656616004e-09
19,10,0.10526315789473684,6.63154182374152e-06,4.3144280251139355e-08,4.1205780889798716e-05,1.6064114547321086e-08,2.1025526340595616e-09
19,11,0.10526315789473684,6.6315196880528805e-06,4.314413623812102e-08,8.005284917044852e-05,3.1208682644620657e-08,2.626325130969606e-09
19,12,0.10526315789473684,6.631396895253994e-06,4.314333735800101e-08,4.1203764850846996e-05,1.6063328592536272e-08,3.1830858446196595e-09
19,13,0.10526315789473684,6.6313850940742205e-06,4.314326058047009e-08,4.120362326549263e-05,1.606327339534545e-08,3.685491226054518e-09
19,14,0.10526315789473684,6.631384043354131e-06,4.31432537445693e-08,4.12037224356176e-05,1.6063312056917024e-08,4.41372699382915e-09
19,15,0.10526315789473684,6.6313840433541245e-06,4.314325374456926e-08,4.120446253731171e-05,1.6063600586296498e-08,5.490733459005525e-09
19,16,0.10526315789473684,6.631384043380762e-06,4.314325374474256e-08,4.120658992967435e-05,1.6064429952319e-08,0.0
19,17,0.10526315789473684,6.631384516940835e-06,4.3143256825686486e-08,4.1203425202043915e-05,1.6063196180113532e-08,0.0
19,18,0.10526315789473684,6.631392046154642e-06,4.31433058101488e-08,4.120347827469519e-05,1.606321687053927e-08,0.0
19,19,0.10526315789473684,6.6314405192367075e-06,4.3143621172140455e-08,4.1203660202875284e-05,1.606328779542071e-08,0.0
19,20,0.10526315789473684,6.631392519714146e-06,4.314330889108903e-08,4.120441173532376e-05,1.606358078109111e-08,0.0
18,2,0.1111111111111111,21.99060174819465,0.15101400600575357,131.89416082193154,0.05431225649338936,7.675949026243805e-11
18,3,0.1111111111111111,2.9509251672650603,0.020264612857557655,10.88080431963573,0.004480570113033912,1.5360438164801255e-10
18,4,0.1111111111111111,0.35619241867962115,0.002446046937215084,1.1522607071196036,0.00047448559270811866,2.4423501432066934e-10
18,5,0.1111111111111111,0.03894181785695505,0.000267421509564101,0.1028002468405248,4.23317707106403e-05,4.058478411124623e-10
18,6,0.1111111111111111,0.003465286164000297,2.3796836101811413e-05,0.009754979697371992,4.016970547519304e-06,5.376741579403774e-10
18,7,0.1111111111111111,0.00033699338346613217,2.3142031954096773e-06,0.0007624601584751298,3.1397092513443315e-07,8.128512654018367e-10
18,8,0.1111111111111111,2.2708001732960733e-05,1.559405399336797e-07,7.814850489903572e-05,3.21805121333738e-08,1.132331736126939e-09
18,9,0.1111111111111111,6.704384057116172e-06,4.6040390611381935e-08,3.95936980641313e-05,1.6304156843487325e-08,1.327040026670794e-09
18,10,0.1111111111111111,6.339977175681113e-06,4.353793326111457e-08,3.936727498739438e-05,1.621091884005243e-08,1.7600540072859906e-09
18,11,0.1111111111111111,6.341959047934174e-06,4.355154318738005e-08,7.5467113916975e-05,3.107635108583994e-08,2.3167134617476354e-09
18,12,0.1111111111111111,6.343085653267958e-06,4.3559279818991603e-08,3.9372459228666516e-05,1.621305364147155e-08,2.7499900574190263e-09
18,13,0.1111111111111111,6.343091970952735e-06,4.355932320383835e-08,3.937216389492354e-05,1.6212932026974743e-08,3.310978188365462e-09
18,14,0.1111111111111111,6.343092833361328e-06,4.355932912617636e-08,3.9372224678399775e-05,1.621295705679965e-08,4.20864552615196e-09
18,15,0.1111111111111111,6.343092406854807e-06,4.3559326197267956e-08,3.937206970050845e-05,1.621289323897078e-08,4.937056559386191e-09
18,16,0.1111111111111111,6.343092833368274e-06,4.355932912622406e-08,3.937302229020665e-05,1.621328550270482e-08,0.0
18,17,0.1111111111111111,6.343092833364773e-06,4.3559329126200017e-08,3.937361026723656e-05,1.6213527623804508e-08,0.0
18,18,0.1111111111111111,6.343092620108057e-06,4.3559327661722085e-08,3.937290386878212e-05,1.6213236738341458e-08,0.0
18,19,0.1111111111111111,6.343092833361326e-06,4.3559329126176346e-08,3.937249407079642e-05,1.621306798899599e-08,0.0
18,20,0.1111111111111111,6.3430924068548046e-06,4.3559326197267936e-08,3.937282221561108e-05,1.6213203114654545e-08,0.0
17,2,0.11764705882352941,23.276195501691248,0.16924871781971887,142.2543209590252,0.06199082595103912,5.775089114081079e-11
17,3,0.11764705882352941,3.2921061178831237,0.02393796440392013,12.44870507242769,0.005424830010492013,1.295118692045472e-10
17,4,0.11764705882352941,0.42408900369473645,0.0030836878007645574,1.3767868574801057,0.000599968801498205,2.252876728887894e-10
17,5,0.11764705882352941,0.047733582927409014,0.0003470862627364592,0.13708185553979785,5.973679667882144e-05,3.890236640363315e-10
17,6,0.11764705882352941,0.004798388756947752,3.489063084450175e-05,0.012940254366837442,5.6390347288491305e-06,4.916641312369361e-10
17,7,0.11764705882352941,0.0004395621255661136,3.1961978558209582e-06,0.0011879334999904951,5.176712970323832e-07,7.114189912871699e-10
17,8,0.11764705882352941,3.776459661418525e-05,2.745985509300837e-07,0.00010259071684954784,4.4706433024586255e-08,1.0077925480079918e-09
17,9,0.11764705882352941,6.666303561189004e-06,4.8472841287412505e-08,3.777975442562236e-05,1.6463459002741595e-08,1.1963148653870538e-09
17,10,0.11764705882352941,5.984371960383373e-06,4.351429687800869e-08,3.701980825064206e-05,1.6132293729533962e-08,1.6315483751107642e-09
17,11,0.11764705882352941,5.98138192067934e-06,4.3492555335835234e-08,7.145129044818081e-05,3.113666059694692e-08,2.0925937733875186e-09
17,12,0.11764705882352941,5.9809254915982145e-06,4.348923649291047e-08,3.702563049534894e-05,1.613483091614338e-08,2.5926043734363036e-09
17,13,0.11764705882352941,5.980999112858454e-06,4.348977181681677e-08,3.702592817688655e-05,1.61349606382092e-08,3.034247370094947e-09
17,14,0.11764705882352941,5.980926417440959e-06,4.34892432250114e-08,3.702586073090386e-05,1.613493124696016e-08,3.5390890881689124e-09
17,15,0.11764705882352941,5.9809257287721696e-06,4.348923821747872e-08,3.702480959539801e-05,1.6134473188760206e-08,4.2428534968552115e-09
17,16,0.11764705882352941,5.980926417440867e-06,4.348924322501074e-08,3.702568263910077e-05,1.613485363906822e-08,0.0
17,17,0.11764705882352941,5.980926417440729e-06,4.348924322500973e-08,3.70260118415801e-05,1.6134997097161175e-08,0.0
17,18,0.11764705882352941,5.980926417458074e-06,4.348924322513585e-08,3.702592163989346e-05,1.6134957789553366e-08,0.0
17,19,0.11764705882352941,5.980923766470936e-06,4.348922394895414e-08,3.7026037076990676e-05,1.6135008094113213e-08,0.0
17,20,0.11764705882352941,5.9809257287721696e-06,4.348923821747872e-08,3.702600438532671e-05,1.6134993847915013e-08,0.0
16,2,0.125,24.692538487992763,0.1907188692833489,162.6083175970079,0.07552085417163873,5.451857729150037e-11
16,3,0.125,3.7450098965395813,0.0289255012509263,14.063242593636097,0.006531449982321894,1.2435957840513e-10
16,4,0.125,0.48835637548904354,0.0037719400857014166,1.7162758059781011,0.0007970970782860427,1.9814729690841644e-10
