K,N,h,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
20,2,0.1,0.4167781255261073,0.001344445566595002,11.369657445559886,7.426814634414499e-05,251.30078716112567,0.12793458612413472,8078.549953258131,0.005884719751970785
20,3,0.1,0.02204868913492729,7.112480368125152e-05,0.7129334007930134,4.656977784709073e-06,251.32734917387185,0.1290202504037307,8078.893880747024,0.0059115921356062626
20,4,0.1,0.0008722215748242824,2.8136179841030577e-06,0.02350146130490156,1.5351473655658048e-07,251.32741219162065,0.12903225801545393,8078.879691118641,0.005911836563804968
20,5,0.1,2.754006535854066e-05,8.883892053664711e-08,0.0008814081069270991,5.7574774427123526e-09,251.32741226241424,0.12903225805179955,8078.878778363594,0.005911794049887385
20,6,0.1,8.092539612847031e-07,2.610496650046739e-09,2.3581718343313473e-05,1.540389864297595e-10,251.32741220433843,0.12903225675561503,8078.878763027181,0.005911793949146807
20,7,0.1,4.029887674631851e-07,1.2999637663793965e-09,1.2761284867038096e-05,8.335844563326129e-11,251.32741220455608,0.12903225802209498,8078.878762810278,0.0059117939814044675
20,8,0.1,4.009620464682018e-07,1.2934259567163038e-09,1.2677673064099867e-05,8.281228198264582e-11,251.32741220273223,0.12903225802115859,8078.878762774342,0.005911793981580192
20,9,0.1,4.0085039941688723e-07,1.2930658049377673e-09,1.2670345177768688e-05,8.276441523406143e-11,251.32741220298607,0.12903225802128893,8078.878762781571,0.00591179398156569
20,10,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.2670344452145032e-05,8.276441049418918e-11,251.32741220298607,0.12903225802128893,8078.87876278157,0.005911793981565726
20,11,0.1,5.668278487535942e-07,1.8284769319823994e-09,1.4763269601262812e-05,9.643568177094368e-11,251.3274124105296,0.12903225775563515,8078.878770141794,0.005911793976692386
20,12,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.2670344451663202e-05,8.27644104910418e-11,251.32741220298607,0.12903225802128893,8078.878762781569,0.005911793981565726
20,13,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.2670344454260075e-05,8.276441050800493e-11,251.32741220298607,0.12903225802128895,8078.87876278157,0.005911793981565725
20,14,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.2670344454410405e-05,8.276441050898691e-11,251.32741220298607,0.12903225802128895,8078.878762781569,0.005911793981565725
20,15,0.1,4.0075882844835506e-07,1.2927704147166118e-09,1.2667343623737348e-05,8.274480867554137e-11,251.32741220298607,0.12903225802128893,8078.878762781569,0.005911793981565726
20,16,0.1,4.0084712236865127e-07,1.2930552338144226e-09,1.2670228804285975e-05,8.276365506666975e-11,251.32741220276898,0.1290322580211775,8078.8787627732045,0.005911793981570401
20,17,0.1,4.0085233320867174e-07,1.2930720429757837e-09,1.2670330377893436e-05,8.276431855926659e-11,251.32741220298618,0.129032258021289,8078.87876278174,0.005911793981565469
20,18,0.1,4.008504141618297e-07,1.2930658525020978e-09,1.2670277214453557e-05,8.276397128845811e-11,251.32741220298612,0.12903225802128898,8078.878762781628,0.0059117939815656285
20,19,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.2670344455861043e-05,8.276441051846267e-11,251.32741220298607,0.12903225802128895,8078.878762781569,0.005911793981565725
20,20,0.1,4.008505459495941e-07,1.2930662776239187e-09,1.2670355433655089e-05,8.276448222690408e-11,251.32741220299013,0.129032258021291,8078.878762782943,0.00591179398156604
19,2,0.10526315789473684,0.4387745707911409,0.0014898966755816647,11.24841303692292,8.005925251369524e-05,238.7300579953431,0.12781809429968413,7289.606003587626,0.005854057404562462
19,3,0.10526315789473684,0.02442470014106832,8.293616349881562e-05,0.7496490359412645,5.335538557133903e-06,238.76096028350776,0.12901752986153972,7291.140442942453,0.005882643052118635
19,4,0.10526315789473684,0.001017033930679576,3.4534259119463263e-06,0.02562430450058485,1.8237796369729784e-07,238.76104151381378,0.129032257978583,7291.067134880585,0.005883026105453033
19,5,0.10526315789473684,3.388567066678636e-05,1.1506170010096555e-07,0.0010346978279962228,7.364339699743305e-09,238.7610416528138,0.129032258053702,7291.067195872717,0.005882975204550682
19,6,0.10526315789473684,1.0329031463256142e-06,3.5073111942964175e-09,2.8117967012296524e-05,2.0012631238024001e-10,238.76104163913558,0.12903225628336598,7291.067001559069,0.0058829746781258315
19,7,0.10526315789473684,4.534496469587812e-07,1.5397271549475316e-09,1.347783401753509e-05,9.59268932786885e-11,238.7610416479315,0.12903225803823845,7291.067001384596,0.005882974719293685
19,8,0.10526315789473684,4.517645967975867e-07,1.5340054226492689e-09,1.3431278259879908e-05,9.55955381670076e-11,238.76104164503226,0.12903225804949667,7291.067001253938,0.005882974719551157
19,9,0.10526315789473684,4.518020333576853e-07,1.5341325416988883e-09,1.3434163774058299e-05,9.56160754736909e-11,238.7610416448779,0.12903225804941323,7291.067001256035,0.005882974719522277
19,10,0.10526315789473684,4.5180651906404505e-07,1.5341477732994364e-09,1.3434255394907742e-05,9.561672757427585e-11,238.7610416448728,0.12903225804941032,7291.067001252323,0.005882974719520232
19,11,0.10526315789473684,5.926456622406115e-07,2.0123791594807e-09,1.5191774102818886e-05,1.0812565959627178e-10,238.76104183941544,0.12903225775289917,7291.067007340478,0.005882974715050089
19,12,0.10526315789473684,4.5181350141698825e-07,1.534171482477521e-09,1.3434596171570585e-05,9.561915301196307e-11,238.7610416448728,0.12903225804941026,7291.067001252323,0.0058829747195202325
19,13,0.10526315789473684,4.5180526603141555e-07,1.5341435185197082e-09,1.343438301936401e-05,9.561763592628405e-11,238.76104164491187,0.12903225804943158,7291.067001253407,0.005882974719520156
19,14,0.10526315789473684,4.518151474737839e-07,1.5341770718045031e-09,1.3434692712692682e-05,9.561984013200806e-11,238.7610416449406,0.1290322580494461,7291.067001255803,0.005882974719521141
19,15,0.10526315789473684,4.5180223933194404e-07,1.5341332411021438e-09,1.3433955454605197e-05,9.561459278456447e-11,238.76104164479585,0.1290322580493672,7291.067001249478,0.005882974719518886
19,16,0.10526315789473684,4.5180706784625476e-07,1.534149636736482e-09,1.343442605401568e-05,9.561794222033936e-11,238.76104164482274,0.12903225804938262,7291.067001249791,0.00588297471952398
19,17,0.10526315789473684,4.5181589595671833e-07,1.5341796133424819e-09,1.3434804648182879e-05,9.56206368196515e-11,238.76104164494186,0.1290322580494478,7291.06700125415,0.005882974719519712
19,18,0.10526315789473684,4.5181632692062957e-07,1.5341810767173931e-09,1.3434774499152509e-05,9.562042223748534e-11,238.7610416449178,0.12903225804943474,7291.0670012534065,0.005882974719520156
19,19,0.10526315789473684,4.518151474737839e-07,1.5341770718045031e-09,1.3434692713789127e-05,9.561984013981188e-11,238.7610416448781,0.1290322580494128,7291.067001252324,0.005882974719520233
19,20,0.10526315789473684,4.518084554635258e-07,1.5341543485099e-09,1.3434360878697155e-05,9.561747834270024e-11,238.76104164488396,0.1290322580494156,7291.067001252394,0.0058829747195201
18,2,0.1111111111111111,0.4632228678283996,0.0016602970172303444,11.236919410729849,8.940635697920614e-05,226.15832797887538,0.12768217008240262,6544.045873126308,0.005835664242764598
18,3,0.1111111111111111,0.02720606239129142,9.7512768423119e-05,0.7907495851763982,6.291585541312369e-06,226.1945645845713,0.12901399443390238,6543.320035089613,0.005867754274187853
18,4,0.1111111111111111,0.0011957133810032508,4.285711042826878e-06,0.028609434874809297,2.2763047895031704e-07,226.19467084757574,0.12903225794421475,6543.618960963751,0.005868338414981417
18,5,0.1111111111111111,4.194757174938702e-05,1.5034971952499375e-07,0.0012135692488553082,9.655742959101413e-09,226.19467102055933,0.12903225804289284,6543.617111533345,0.005868273538885549
18,6,0.1111111111111111,1.31615952128339e-06,4.717417638793344e-09,3.33988133220046e-05,2.6573708659845777e-10,226.19467101767077,0.12903225562149082,6543.617386228306,0.0058682729510474195
18,7,0.1111111111111111,4.176390546474442e-07,1.4969141742953056e-09,1.1496218770116173e-05,9.146946789443049e-11,226.19467102995142,0.12903225802559287,6543.617385633282,0.00586827300914293
18,8,0.1111111111111111,4.2101310941492304e-07,1.509007560558119e-09,1.1530848077713366e-05,9.174499538767041e-11,226.19467103061262,0.12903225804862775,6543.617385948739,0.005868273010028652
18,9,0.1111111111111111,4.210728199773932e-07,1.5092215769110488e-09,1.1532128710532852e-05,9.175518472078148e-11,226.19467103087135,0.1290322580487753,6543.617385968173,0.005868273009985471
18,10,0.1111111111111111,4.2108400228968455e-07,1.5092616568834175e-09,1.1532334102376008e-05,9.175681891746642e-11,226.19467103089028,0.12903225804878612,6543.617385968663,0.005868273009977491
18,11,0.1111111111111111,5.564303029736715e-07,1.9943738456927796e-09,1.310654396860909e-05,1.0428199277661416e-10,226.19467121652582,0.12903225775855243,6543.617391652456,0.005868273005434387
18,12,0.1111111111111111,4.2108400228968455e-07,1.5092616568834175e-09,1.153233409849843e-05,9.175681888661453e-11,226.19467103089028,0.12903225804878615,6543.617385968663,0.005868273009977491
18,13,0.1111111111111111,4.210830044513345e-07,1.5092580804018763e-09,1.1532250066796401e-05,9.175615028981549e-11,226.19467103089028,0.12903225804878615,6543.617385968663,0.005868273009977491
18,14,0.1111111111111111,4.2108400228968455e-07,1.5092616568834175e-09,1.1532334099765786e-05,9.175681889669823e-11,226.19467103089028,0.12903225804878615,6543.617385968663,0.005868273009977491
18,15,0.1111111111111111,4.210830186841228e-07,1.5092581314154545e-09,1.153225251659536e-05,9.175616978159897e-11,226.19467103089028,0.12903225804878612,6543.617385968663,0.005868273009977491
18,16,0.1111111111111111,4.2108478898772704e-07,1.5092644765896629e-09,1.1532466178655292e-05,9.175786978012215e-11,226.19467103083716,0.12903225804875584,6543.617385965643,0.005868273009983624
18,17,0.1111111111111111,4.210677862519317e-07,1.509203534884306e-09,1.1531896215400768e-05,9.175333487724205e-11,226.19467103096056,0.1290322580488262,6543.617385970537,0.005868273009974962
18,18,0.1111111111111111,4.210841885891e-07,1.5092623246232578e-09,1.1532337295097643e-05,9.175684432030146e-11,226.19467103089028,0.12903225804878615,6543.617385968663,0.005868273009977491
18,19,0.1111111111111111,4.2108400228968455e-07,1.5092616568834175e-09,1.1532334100328411e-05,9.175681890117475e-11,226.19467103089028,0.1290322580487861,6543.617385968663,0.005868273009977491
18,20,0.1111111111111111,4.2106911103547644e-07,1.5092082832124231e-09,1.1531973075457137e-05,9.175394641296515e-11,226.19467103120667,0.12903225804896662,6543.61738597726,0.005868273009980991
17,2,0.11764705882352941,0.49055661213354806,0.0018616949293180892,11.265403092206979,0.00010017375344703076,213.58529392962063,0.12752227946608014,5835.324707185085,0.005846189973299876
17,3,0.11764705882352941,0.03049039607787957,0.00011571307850527003,0.8370839333322921,7.443483279360593e-06,213.62815904819388,0.12900933332189266,5836.957431726676,0.005882434392327354
17,4,0.11764705882352941,0.001418748734340389,5.384245690238302e-06,0.032081004250208794,2.8526938484044764e-07,213.628300144175,0.12903225788335673,5836.866423041691,0.00588304132922903
17,5,0.11764705882352941,5.268841049382242e-05,1.999560177643176e-07,0.0014399955601986896,1.2804669218800482e-08,213.62830042025797,0.12903225805011184,5836.868011496151,0.005882961634212734
17,6,0.11764705882352941,1.699638014102617e-06,6.450239165606623e-09,3.9671401318398374e-05,3.5276440106404625e-10,213.62830042601263,0.12903225463487641,5836.867737926825,0.005882960601145285
17,7,0.11764705882352941,4.144313263645249e-07,1.5727944130398601e-09,1.0858319247360739e-05,9.655389924633143e-11,213.6283004222403,0.12903225801667276,5836.867737535098,0.005882960682425463
17,8,0.11764705882352941,4.1411020353319786e-07,1.5715757305637038e-09,1.0858674038300018e-05,9.655705410371077e-11,213.62830042466,0.12903225804957924,5836.867737501802,0.005882960683202296
17,9,0.11764705882352941,4.141662161126772e-07,1.571788302023583e-09,1.0860735315307312e-05,9.657538330622794e-11,213.62830042640124,0.12903225804653592,5836.867737553046,0.005882960683148926
17,10,0.11764705882352941,4.1415269500088443e-07,1.5717369885061608e-09,1.0859986349710936e-05,9.65687233851956e-11,213.62830042637032,0.12903225804640517,5836.867737553254,0.005882960683144674
17,11,0.11764705882352941,5.418360611199844e-07,2.0563038445685977e-09,1.2296253428214802e-05,1.0934023835261492e-10,213.62830059799035,0.12903225775611363,5836.867742441102,0.005882960678701513
17,12,0.11764705882352941,4.141510282195549e-07,1.571730662960296e-09,1.0859883720193729e-05,9.656781078722916e-11,213.62830042637034,0.12903225804640509,5836.867737553277,0.005882960683144579
17,13,0.11764705882352941,4.141510282195549e-07,1.571730662960296e-09,1.085988372097316e-05,9.656781079415997e-11,213.62830042637032,0.1290322580464052,5836.867737553254,0.005882960683144674
17,14,0.11764705882352941,4.141512637339211e-07,1.57173155675296e-09,1.0859902923276402e-05,9.656798154409008e-11,213.6283004263811,0.1290322580463747,5836.867737553691,0.00588296068314381
17,15,0.11764705882352941,4.141341001283324e-07,1.5716664197296217e-09,1.085964794896075e-05,9.656571427198075e-11,213.62830042638103,0.1290322580463748,5836.867737553622,0.005882960683143882
17,16,0.11764705882352941,4.14144002101602e-07,1.5717039983759397e-09,1.085972998688855e-05,9.656644376626386e-11,213.62830042625848,0.1290322580465956,5836.867737550877,0.005882960683147021
17,17,0.11764705882352941,4.1415388090523775e-07,1.571741489091958e-09,1.0860004837838698e-05,9.656888778456391e-11,213.62830042641698,0.12903225804631235,5836.8677375548805,0.0058829606831428734
17,18,0.11764705882352941,4.141521094575221e-07,1.5717347663302048e-09,1.0859942380826673e-05,9.656833240689367e-11,213.6283004263861,0.12903225804636653,5836.867737554303,0.005882960683143357
17,19,0.11764705882352941,4.141510258338723e-07,1.5717306539064718e-09,1.0859883219604231e-05,9.656780633590783e-11,213.6283004263811,0.1290322580463747,5836.867737553691,0.00588296068314381
17,20,0.11764705882352941,4.141517476524294e-07,1.5717333932558442e-09,1.0859903927460695e-05,9.65679904734563e-11,213.6283004264269,0.1290322580463913,5836.867737553277,0.005882960683144578
16,2,0.125,0.5213176550249787,0.002102087318735579,11.479291486673313,0.00011834421756541348,201.010536350666,0.12733250045823877,5167.305852341206,0.005856860345058214
16,3,0.125,0.03440672521771494,0.0001387367952384286,0.8935946096122326,9.212393902358997e-06,201.0617388393799,0.12900308855244097,5170.487644105942,0.005900010792119259
16,4,0.125,0.0017009322387046496,6.858597736994432e-06,0.03724385970487086,3.8396058162700163e-07,201.06192938198694,0.12903225777716454,5170.467172449414,0.005900654713211586
16,5,0.125,6.704052226409286e-05,2.703246865598816e-07,0.0017238058261213709,1.7771345205744447e-08,201.0619297788613,0.12903225803186016,5170.469258916044,0.005900554147405489
16,6,0.125,2.2235961506247846e-06,8.96611351095264e-09,4.930661140673288e-05,5.083199041078375e-10,201.06192980866058,0.1290322531726172,5170.469264219507,0.00590055378708734
16,7,0.125,3.4929417613335245e-07,1.4084442586601654e-09,8.804100819437692e-06,9.076469780848078e-11,201.06192980708707,0.12903225800442192,5170.469266335911,0.00590055391113977
