K,N,h,l2phi,relL2phi,l2u,relL2u,l2divu_f
20,2,0.1,21.726003923558373,0.13428007350973734,117.01721072229161,0.04335647950203694,0.0
20,3,0.1,2.7390121777311904,0.01692878073040369,9.393143620628923,0.003480288380945879,0.0
20,4,0.1,0.3088955947516686,0.0019091648568244654,0.8291788935474502,0.000307222138347921,0.0
20,5,0.1,0.03075285301099117,0.00019007155561047583,0.06932299625255098,2.5685119714368202e-05,0.0
20,6,0.1,0.0026877305194932433,1.6611828525933825e-05,0.005556717057941183,2.0588397871916722e-06,0.0
20,7,0.1,0.00022470701600325998,1.38882763407554e-06,0.00042740367210810124,1.5835891519263616e-07,0.0
20,8,0.1,1.718566172780297e-05,1.0621796480578465e-07,5.312261974021519e-05,1.968265829995882e-08,0.0
20,9,0.1,7.132422016494366e-06,4.408275705219837e-08,4.369716185347455e-05,1.619039704077009e-08,0.0
20,10,0.1,7.03392093259027e-06,4.347395974027814e-08,4.3634610415185706e-05,1.6167220876039676e-08,0.0
20,11,0.1,1.0133431588539615e-05,6.263084290155693e-08,8.493321196346327e-05,3.146891846768795e-08,0.0
20,12,0.1,7.033832196284386e-06,4.347341129530321e-08,4.362385019071729e-05,1.6163234065478028e-08,0.0
20,13,0.1,7.033807590016346e-06,4.3473259213425073e-08,4.362382235993843e-05,1.616322375379323e-08,0.0
20,14,0.1,7.0338404538472815e-06,4.347346233212326e-08,4.362371350411353e-05,1.6163183421218972e-08,0.0
20,15,0.1,7.033843550222431e-06,4.347348146962707e-08,4.3623786834831366e-05,1.616321059125443e-08,0.0
20,16,0.1,7.03411135036847e-06,4.347513663932245e-08,4.362267192578606e-05,1.6162797502180856e-08,0.0
20,17,0.1,7.033994892436593e-06,4.347441685764017e-08,4.362403929567888e-05,1.6163304131456702e-08,0.0
20,18,0.1,7.033830085931343e-06,4.347339825202279e-08,4.362423907727428e-05,1.6163378153274455e-08,0.0
20,19,0.1,7.033809575414489e-06,4.347327148440732e-08,4.362376765529662e-05,1.6163203484974083e-08,0.0
20,20,0.1,7.033847509945128e-06,4.347350594314997e-08,4.362305611181251e-05,1.6162939848366327e-08,0.0
19,2,0.10526315789473684,22.89619130666533,0.14896078780381267,122.68473059066066,0.04782876389811399,7.774823380286768e-11
