#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
1,2,nan,nan,0.999999999363458,4.442882936322858,1.2676661563096039,3.1786382480364193
1,3,5.865198128523784e-09,4.5072428608792696e-09,0.9094374917784602,7.273328578520045,1.1731976310486292,4.15461004793405
1,4,nan,8.964735692450058e-09,1.0792262537615012,7.000469079622055,1.224382191896002,3.9986545360922734
1,5,5.606889005577846e-09,nan,0.8917784708782421,4.662109987551977,1.189404080315741,3.296277826008965
1,6,3.5628128981961632e-09,1.047479163780994e-08,1.8338755690464743,12.094242137827887,1.6868438828722703,5.247047942957374
1,7,nan,nan,1.2842046583795528,8.6188462209647,1.413646434635489,4.404011892805104
1,8,nan,nan,1.446489990798137,10.152588143081662,1.4864736701723278,4.821644404959896
1,9,1.3407405042419652e-08,nan,1.4088574538075638,9.882922518084534,1.4645544654545242,4.758424454327306
1,10,nan,1.9671842860119396e-08,1.4148970209539329,9.939579724428745,1.4733583334580853,4.756344313641547
1,11,5.699887104743802e-09,1.4440486596813391e-08,1.414144591008635,9.933921915300141,1.4722423099115511,4.756658100274759
1,12,nan,1.462979332324411e-08,1.414219216116106,9.934631433523961,1.4730498407224397,4.754906343862757
1,13,nan,nan,1.4142131767366957,9.934584502858135,1.4729767544898833,4.755036746933006
1,14,nan,4.8563406212414605e-09,1.4142135849330522,9.934588437351172,1.4730382362076113,4.755030596091881
1,15,5.307491628460616e-09,1.6456519201951185e-08,1.4142135612630542,9.934588249245284,1.4730342980320736,4.755030741646076
1,16,nan,4.5222118807636746e-09,1.4142135633258828,9.934588261279364,1.4730348984577804,4.755037453292657
1,17,5.29165454286288e-09,nan,1.4142135618262512,9.934588270861306,1.4730348509813098,4.755037140218447
1,18,4.867909711070119e-09,7.795944036744055e-09,1.4142135624417378,9.934588257808262,1.4730348333767729,4.755037360326039
1,19,3.962355999298925e-09,nan,1.4142135626901173,9.93458826048351,1.4730348332694727,4.755037353035454
1,20,8.764453453484986e-09,nan,1.414213563812232,9.934588262203622,1.4730348332928889,4.755037353062844
2,2,1.3020833872007612e-08,5.0382420905824755e-09,4.0794577263476794,17.935516751093648,3.748711061750133,8.477785491228763
2,3,nan,1.4468321756604625e-08,2.137447554639812,12.132546452820828,2.727831563264101,7.241871083388625
2,4,nan,1.1027087637995734e-08,3.045265575654076,20.934286282146918,3.1038292695189336,9.764042557983545
2,5,2.5971786772652298e-08,nan,2.8011041740384406,19.617573088120928,2.984363157388097,9.4344328011242
2,6,1.7542116334985946e-08,nan,2.8307299204792558,19.883512570001812,2.971515009105731,9.547628696792207
2,7,nan,2.5850831303189802e-08,2.828291258275496,19.867915406299996,2.9707077484698545,9.541264195431342
2,8,1.5488012203397906e-08,2.5037596713904983e-08,2.8284330689796136,19.869217276477798,2.9705184314599005,9.544370240800427
2,9,nan,nan,2.8284269178318464,19.869174613795447,2.97051752137091,9.544209812992028
2,10,nan,nan,2.8284271280468714,19.869176578253725,2.9704870233642438,9.544327356350093
2,11,1.7349431377832033e-08,7.60715110355655e-09,2.8284271208384606,19.869176509597686,2.9704875937203434,9.544323617909384
2,12,2.6785598507377804e-09,nan,2.828427120650773,19.869176536590615,2.9704869048397433,9.54432542604516
2,13,nan,nan,2.828427121165528,19.869176541244723,2.9704869136828806,9.544325391218335
2,14,2.187314807222944e-08,2.2351087060313127e-08,2.8284271215249475,19.86917653666669,2.970486897975601,9.544325406929351
2,15,nan,2.453652717675637e-08,2.8284271210298404,19.869176532509755,2.9704868979379144,9.544325404551522
2,16,1.4442439087379137e-08,1.69305344590592e-08,2.828427122228981,19.869176538339424,2.970486898623562,9.544325408147198
2,17,nan,1.793730538472816e-08,2.828427122226997,19.869176538339424,2.9704868986118274,9.544325408147191
2,18,1.1931062885293881e-08,1.9211775010057548e-08,2.828427122226997,19.869176538339545,2.970486898611548,9.5443254081472
2,19,nan,3.005316145243561e-08,2.828427122226997,19.869176538339538,2.970486898611547,9.544325408147197
2,20,1.1090861653284142e-08,2.356379918706119e-08,2.828427122226997,19.869176538339538,2.970486898611547,9.5443254081472
3,2,9.646152773089353e-09,nan,3.9489443839039704,24.20829723386266,4.436631497469233,12.344795862947542
3,3,1.1015422266964738e-08,nan,4.239238441895013,29.19252131048432,4.333320520194602,14.210062675032944
3,4,nan,nan,4.242592927243509,29.76090780466485,4.469357100711639,14.309988785223746
3,5,nan,nan,4.242640066348875,29.801852197675963,4.447318514075067,14.349091679408927
3,6,nan,nan,4.242640683854901,29.803705784577183,4.452374144827202,14.343257165432215
3,7,2.7935228007772985e-09,1.7497806267978173e-08,4.242640690740038,29.803763470537916,4.452407865946038,14.342373229316449
3,8,nan,nan,4.242640691132579,29.803764760409596,4.452493448579091,14.342328404059309
3,9,4.284964839396601e-10,3.0026548017780184e-08,4.24264069170645,29.803764804246565,4.452497716654973,14.342300805065957
3,10,9.181892443113922e-09,1.2971013710961085e-08,4.2426406912436825,29.80376479781963,4.452498235788556,14.34230211129746
3,11,nan,nan,4.242640690279626,29.80376478351718,4.452498257934676,14.342302010401138
3,12,1.1111243023613987e-08,nan,4.242640691908621,29.80376479023384,4.452498262748886,14.342302027652147
3,13,5.820718282080408e-09,2.69592397056585e-08,4.242640690582876,29.803764794175066,4.452498261853264,14.342302030607279
3,14,nan,3.4411428985641254e-08,4.242640690688519,29.803764795670045,4.452498261937036,14.342302030801305
3,15,nan,2.528406786522536e-08,4.242640690713915,29.803764795670848,4.452498262014299,14.34230203081166
3,16,9.833078249321319e-09,2.4629616577293743e-08,4.242640690713915,29.803764795670844,4.452498262014295,14.342302030811663
3,17,2.1105012127435913e-09,2.2639883749266077e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.34230203081166
3,18,nan,3.0929482650395e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.342302030811663
3,19,6.817499706853357e-09,2.344367894047686e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.34230203081166
3,20,1.0798591856337937e-08,2.990909707005163e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.342302030811663
4,2,nan,3.1318642637523446e-08,4.807401684983446,31.59895579988808,5.6298463788317745,17.271217526885774
4,3,9.708163039355074e-09,1.9716679872845116e-08,5.739579863440839,40.09338669125892,5.979298872474952,19.169239843018662
4,4,nan,nan,5.653129062897705,39.70531017960696,5.940601418660309,19.128015737452525
4,5,nan,2.766521453238434e-08,5.6569580230490795,39.73894899013004,5.941200348631498,19.128257286194415
4,6,3.936623269201522e-09,2.7012569078534562e-08,5.6568522832844375,39.73833523741082,5.94103967559577,19.128318334627675
4,7,8.419847715285958e-09,3.885328632968464e-09,5.656854275153482,39.738353269433595,5.940980969843473,19.128312240831146
4,8,1.224165270374207e-08,4.359031206664547e-08,5.656854244112038,39.73835308528529,5.940981560425064,19.128312550619047
4,9,9.863050828080601e-09,nan,5.656854246200028,39.73835309471323,5.940980671178376,19.128311685501263
4,10,nan,1.9329519764500397e-08,5.656854246369241,39.738353071456494,5.940980676715288,19.128311681041527
4,11,nan,nan,5.6568542478568835,39.73835311130739,5.940980681842539,19.12831170597916
4,12,nan,nan,5.656854248135561,39.73835310729922,5.940980678866888,19.128311697980518
4,13,nan,nan,5.656854246637401,39.738353107277824,5.940980678070609,19.128311697895366
4,14,nan,nan,5.656854246637409,39.73835310727781,5.9409806780705985,19.128311697895345
4,15,nan,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,16,nan,nan,5.656854246636976,39.7383531072765,5.940980678065658,19.1283116978914
4,17,nan,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,18,nan,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,19,7.631513961912617e-09,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,20,nan,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
5,2,nan,nan,7.064166175952193,47.98970875271077,7.438649310040437,23.250650549917275
5,3,1.0488292900845408e-08,nan,7.07101874496918,49.60581177064332,7.3948163172166455,23.9229685370073
5,4,1.570551576527709e-08,3.16366769700274e-08,7.071067570536855,49.67135344625265,7.426561999885961,23.901530710645932
5,5,5.3483120459191114e-09,nan,7.071067808884964,49.67291697186621,7.423726545728401,23.907386957480714
5,6,6.852767473643845e-09,3.7514690962060884e-08,7.07106780992633,49.672941064629065,7.424245792913029,23.90625662174848
5,7,nan,nan,7.071067810987286,49.672941320543394,7.424241176415953,23.90623499552622
5,8,1.2983028976949842e-08,nan,7.071067810772306,49.67294133358893,7.424243813073048,23.906231405555392
5,9,nan,nan,7.071067810332864,49.67294132855489,7.424243752940739,23.90623100500176
5,10,nan,nan,7.0710678102614555,49.67294132621504,7.424243766091717,23.9062310278634
5,11,nan,5.719731418609371e-05,7.071067812696083,49.67294134971482,7.4242437694628975,23.906231032631435
5,12,1.5535617197383305e-08,4.372608686359524e-08,7.071067809762379,49.67294133175051,7.424243765675091,23.906231028411646
5,13,1.2968796412989176e-08,2.0167309244977936e-08,7.071067809765255,49.672941331756725,7.424243765693627,23.90623102841472
5,14,8.908557958370578e-09,1.631785741590407e-08,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,15,1.0369899327152264e-08,nan,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,16,3.159556745832322e-09,nan,7.071067809765229,49.67294133177358,7.424243765693332,23.906231028425218
5,17,1.5951614501716864e-08,nan,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,18,9.639262375216687e-09,3.483403695400926e-08,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,19,nan,nan,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,20,3.742405744054615e-09,3.140805093889065e-08,7.0710678097653314,49.672941331756725,7.424243765694487,23.906231028414712
6,2,2.0393990030927632e-08,nan,8.483143222778999,58.565429015293965,8.87665159453415,28.372664698118285
6,3,nan,nan,8.485270320746043,59.57881297122501,8.931500680644382,28.62715245896202
6,4,nan,2.620582927601797e-08,8.485281349574485,59.60706409975617,8.911723762507613,28.686219311735627
6,5,3.1164218256593084e-08,nan,8.485281384545099,59.607524680497185,8.91162568628549,28.686105655871444
6,6,1.0936834371447427e-08,nan,8.485281384286992,59.60752954152979,8.911514678143474,28.686591558070315
6,7,nan,nan,8.485281383928985,59.60752959999026,8.911516315707594,28.68658999968984
6,8,2.327912884674051e-08,4.0692954060211024e-08,8.485281384484402,59.60752957689884,8.911516207000009,28.68659221075234
6,9,9.975186863059338e-09,4.515202858973033e-08,8.485281384661008,59.607529589950126,8.911516201037742,28.686592167064685
6,10,nan,1.8731804087245038e-08,8.485281386270948,59.60752957114125,8.911516203387187,28.686592170793272
6,11,2.951345270704509e-06,nan,8.485281391857498,59.60752961045286,8.911516210372113,28.686592179059968
6,12,1.3469032486998494e-08,2.10096312291495e-08,8.485281385683725,59.60752957469102,8.911516202993711,28.686592170483518
6,13,1.7501099747767718e-08,6.598711889297217e-08,8.485281385683729,59.60752957468602,8.911516202993948,28.68659217048352
6,14,1.1852833761792879e-08,4.278307705331652e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,15,1.446869490442501e-08,5.5804579199218474e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,16,nan,2.0197396361165572e-05,8.485281385683727,59.6075295746852,8.911516202993853,28.686592170483515
6,17,nan,6.18653047946425e-06,8.485281385683729,59.60752957468604,8.911516202993948,28.686592170483518
6,18,8.980860289066402e-09,4.4821534298654744e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,19,1.113930165837723e-08,3.521932115281129e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,20,1.4564760818205347e-08,nan,8.485281385683729,59.607529574688535,8.911516202993946,28.686592170483518
7,2,2.7463479351844486e-08,5.941037132049673e-08,9.898733702410995,68.8549335598181,10.403652955115302,33.21506765559267
7,3,1.1123536346358044e-08,4.4883089044664965e-08,9.899491944287513,69.52831359343718,10.386512908190468,33.482679822228384
7,4,1.3333677101257912e-08,nan,9.89949493148045,69.54195483123071,10.395913479534562,33.47164387829407
7,5,nan,5.674926073671008e-08,9.89949493989446,69.54211659583319,10.395375764113702,33.47291708058252
7,6,1.485041894600917e-08,5.9277130107470293e-08,9.899494939824248,69.54211784525647,10.39544900162332,33.47269101788259
7,7,1.7806140638009074e-08,6.174435827111087e-05,9.899494938910795,69.54211784817744,10.395447687852535,33.472690317958
7,8,nan,4.5887101776579395e-08,9.899494939083915,69.54211785122025,10.395447897727898,33.47268995665668
7,9,nan,nan,9.899494939130488,69.54211785437307,10.395447895230804,33.47268993888944
7,10,nan,5.250081831607708e-08,9.899494937613177,69.5421178502016,10.395447895007095,33.472689939361636
7,11,nan,8.491869170558586e-05,9.899494947210469,69.54211790306172,10.395447901990616,33.472689952179614
7,12,nan,nan,9.899494937578831,69.54211784844907,10.395447895070685,33.472689938958034
7,13,2.0543077481732266e-08,4.755455842198893e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,14,1.0843934016373797e-08,nan,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,15,1.3625690823467322e-08,1.9493640419061014e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,16,1.326913646735743e-08,nan,9.899494937569596,69.542117848449,10.395447895065505,33.472689938958034
7,17,9.719566988967678e-09,2.6857547588324692e-08,9.899494937578844,69.54211784844907,10.395447895071007,33.47268993895804
7,18,1.983798682452835e-08,1.876669116213463e-06,9.899494937578831,69.54211784844907,10.395447895070701,33.47268993895804
7,19,nan,2.6000553723436016e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,20,1.513525084261608e-08,nan,9.899494937578831,69.54211784844998,10.395447895070683,33.47268993895804
8,2,nan,6.924450841490074e-08,11.313402675312092,79.00113049289523,11.86296454895546,38.053192965869165
8,3,1.8173670805912772e-08,5.4192346324045104e-08,11.31370755577176,79.46944572023715,11.880324591914693,38.25904476142123
8,4,nan,nan,11.313708497905692,79.47664085098963,11.882051921257334,38.25697792620571
8,5,2.177246728547965e-08,5.296384757688697e-08,11.313708498652812,79.47670571923256,11.88216373797173,38.256945329484985
8,6,nan,nan,11.313708499147827,79.47670613216668,11.882172736872105,38.2569443100697
8,7,nan,nan,11.313708500235355,79.47670610631417,11.882173538394706,38.25694577672872
8,8,nan,5.464909102181592e-08,11.313708498629554,79.4767061366423,11.882173518145333,38.25694570251206
8,9,1.9403137956442915e-08,4.499597882664451e-08,11.313708503904936,79.47670615151102,11.882173521852609,38.25694570768772
8,10,7.629912091089762e-09,7.059414026416353e-08,11.31370850272916,79.47670616887537,11.882173521131115,38.25694571146867
8,11,nan,9.87130152791974e-08,11.313708515558616,79.47670623847843,11.882173531438312,38.25694573348476
8,12,3.5846134594523367e-09,8.397604166027086e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,13,nan,4.746053246157268e-08,11.313708502730966,79.47670616887306,11.882173521139034,38.25694571146235
8,14,nan,8.183558726134948e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,15,nan,7.869365330973932e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,16,nan,7.316532515040954e-08,11.313708502730739,79.47670616887224,11.882173521135625,38.256945711459835
8,17,nan,5.276780429094707e-08,11.313708502757338,79.47670616887261,11.882173521157926,38.256945711463324
8,18,9.56031863989666e-09,5.981954365225399e-08,11.313708502730035,79.47670616887306,11.882173521133259,38.25694571146235
8,19,nan,7.854272048023258e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,20,nan,7.60242198718592e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
9,2,nan,nan,12.727786309482118,89.06930737459444,13.363804996587053,42.91454013110437
9,3,1.8505071698989715e-08,nan,12.727921714377114,89.4071948269383,13.36315674271615,43.04190438691825
9,4,1.2217468864612763e-08,nan,12.727922050404509,89.41126537651279,13.366349993847539,43.03699789004548
9,5,1.9593845731585348e-08,nan,12.727922050524814,89.41129423727885,13.366288641463383,43.03736553444333
9,6,nan,nan,12.72792205174129,89.41129438859566,13.366299546438285,43.03731413843554
9,7,nan,nan,12.727922050124334,89.41129437678848,13.366299281708539,43.037314184713445
9,8,1.1180450156045309e-08,nan,12.72792205103064,89.41129438579904,13.36629930576136,43.03731414672193
9,9,1.0370776987639176e-08,1.642625129568727e-05,12.72792205207591,89.41129438348055,13.366299306283679,43.03731414519055
9,10,nan,4.3432363481078055e-08,12.72792205190854,89.41129438193411,13.36629930628966,43.03731414502178
9,11,nan,0.00011029322648564507,12.727922067763055,89.41129447107939,13.366299316839816,43.03731416678418
9,12,nan,6.678013278433748e-08,12.727922051909143,89.41129438218137,13.366299306292698,43.03731414505646
9,13,1.36238001464284e-08,nan,12.727922051909143,89.41129438218137,13.366299306292698,43.03731414505646
9,14,1.2577178142760408e-08,nan,12.727922051909145,89.41129438218137,13.366299306292731,43.03731414505646
9,15,1.3359247239853842e-08,nan,12.727922051909141,89.41129438219797,13.366299306292715,43.03731414506416
9,16,2.366655998965811e-06,1.6380858005197516e-05,12.727922051905367,89.41129438217943,13.366299306287146,43.037314145055014
9,17,nan,nan,12.727922051908466,89.41129438221348,13.366299306291541,43.03731414506896
9,18,1.3547092316564e-08,nan,12.727922051908461,89.41129438221327,13.366299306291365,43.03731414506906
9,19,4.30233853289672e-06,nan,12.727922051908802,89.41129438218137,13.366299306292039,43.03731414505646
9,20,nan,nan,12.727922051909143,89.41129438218215,13.366299306292698,43.03731414505768
10,2,2.63482286848154e-08,nan,14.142070236324347,99.0921583136014,14.821300189014297,47.77705449523017
10,3,nan,4.706234946751615e-08,14.142135484932163,99.34343145860065,14.855936616256603,47.80188121238466
10,4,3.2784493719700614e-08,3.761236609048072e-08,14.14213562169127,99.34586864288939,14.852739040011611,47.81767647923891
10,5,1.713345273778203e-08,nan,14.142135619322739,99.34588259398345,14.85272223985064,47.81760464359282
10,6,2.5538109023793538e-08,4.976805675565675e-09,14.142135618538912,99.34588266165781,14.852726101785288,47.81765703844224
10,7,1.4434905591234648e-08,nan,14.142135619040946,99.34588263734605,14.852726103571872,47.81765719103741
10,8,nan,4.39909204136844e-08,14.142135619610178,99.34588265718635,14.852726099520847,47.817657276113664
10,9,nan,nan,14.142135620807514,99.34588266245358,14.852726100496639,47.81765727804288
10,10,1.6992174960417876e-08,2.332383816910301e-08,14.142135620873825,99.34588266060695,14.852726100457435,47.81765727769987
10,11,nan,nan,14.142135639978987,99.34588276595122,14.85272611382133,47.81765730384277
10,12,nan,nan,14.142135620873825,99.34588266060712,14.852726100457426,47.81765727770122
10,13,nan,nan,14.142135620873825,99.34588266060712,14.852726100457426,47.81765727770122
10,14,nan,nan,14.142135620873825,99.34588266060713,14.852726100457426,47.81765727770122
10,15,1.1957470388915686e-08,nan,14.142135620873825,99.34588266060713,14.852726100457426,47.81765727770122
10,16,nan,8.061298869588467e-06,14.142135620867009,99.34588266060692,14.852726100457316,47.81765727769989
10,17,nan,8.94712222398526e-06,14.142135620879147,99.34588266060739,14.852726100463276,47.81765727770131
10,18,nan,nan,14.142135620873866,99.34588266060715,14.852726100458712,47.81765727770122
10,19,nan,nan,14.142135620873825,99.34588266060713,14.852726100457426,47.81765727770122
10,20,nan,nan,14.142135620879099,99.34588266060712,14.852726100461743,47.81765727770122
11,2,6.003068296374377e-09,8.00209633167998e-08,15.55631547435386,109.08727945998916,16.334829386858484,52.53271698110419
11,3,nan,5.626139388671904e-08,15.556349110146526,109.27893471165099,16.33531518986661,52.60379439751087
11,4,1.5800646432622213e-08,nan,15.556349165948966,109.2804636762515,16.3370299211939,52.60183481090759
11,5,nan,nan,15.556349167033813,109.28047088540919,16.33703831683032,52.6019035121542
11,6,nan,7.505323855699065e-08,15.556349167867175,109.28047091909876,16.337041776201264,52.601886920582075
11,7,nan,4.059366582459889e-08,15.55634916660142,109.28047091516737,16.33704177590062,52.60188683082258
11,8,2.5215983564929875e-08,nan,15.556349166980123,109.28047090795481,16.337041781679737,52.60188681853135
11,9,nan,1.0030935378205459e-05,15.556349167225518,109.28047091526027,16.337041781717147,52.601886820052094
11,10,nan,4.059365686995408e-08,15.55634916709066,109.28047091554251,16.33704178168066,52.60188682012007
11,11,1.026785744968618e-05,7.869248178878263e-05,15.556349189057899,109.28047103940624,16.337041795854653,52.60188685029082
11,12,7.065201476991907e-09,nan,15.556349167061887,109.28047091554251,16.337041781663807,52.60188682012008
11,13,2.2831071938512413e-08,nan,15.556349167061768,109.28047091554251,16.33704178166289,52.60188682012008
11,14,7.2111546198288995e-09,nan,15.556349167061887,109.28047091554251,16.337041781663814,52.60188682012008
11,15,2.0140188917422425e-08,1.9174682104427902e-05,15.556349167076274,109.28047091554542,16.337041781672223,52.60188682012007
11,16,1.852734913427275e-08,2.140964934222112e-05,15.556349167053735,109.28047091551156,16.337041781660616,52.60188682011348
11,17,nan,nan,15.556349167063543,109.28047091557077,16.337041781666464,52.601886820126374
11,18,1.0346957045219323e-08,nan,15.556349167061887,109.28047091554251,16.337041781663846,52.60188682012008
11,19,nan,nan,15.556349167061887,109.28047091554251,16.337041781663814,52.60188682012008
11,20,nan,nan,15.556349167090598,109.28047091554427,16.337041781681357,52.601886820127035
12,2,2.2284241197413996e-08,nan,16.970544377661408,119.06469992348312,17.830421913557604,57.32929788117476
12,3,nan,nan,16.97056272115103,119.21405785886954,17.822630597234657,57.385411208113595
12,4,nan,nan,16.97056274741114,119.21505520179478,17.823255508489723,57.385536584725884
12,5,nan,nan,16.970562751861348,119.21505912974756,17.82321252546693,57.385462250785665
12,6,nan,nan,16.97056274800824,119.21505919481572,17.823213897091346,57.385466647519976
12,7,2.5648010794208008e-08,nan,16.970562747456658,119.21505917762433,17.823213861405307,57.38546654916614
12,8,1.5748064034467068e-08,2.0996929991168428e-09,16.97056275085195,119.21505918071612,17.823213863734594,57.385466551010836
12,9,2.3053126297232353e-08,6.342569555043035e-08,16.97056274976979,119.21505916189346,17.823213862972136,57.38546654777424
12,10,8.475288963787658e-09,6.44942351442914e-08,16.970562749769524,119.21505916186557,17.82321386301822,57.38546654777527
12,11,8.033445162357213e-09,nan,16.97056277459435,119.2150593055939,17.823213880058578,57.38546658656828
12,12,1.6311832020712196e-08,5.26305868768365e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,13,1.6315508370986707e-08,nan,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,14,nan,3.1613010017667655e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,15,2.2247971845559235e-08,7.42004368320087e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,16,2.4189228754997086e-08,5.839307208302437e-08,16.970562749769314,119.21505916186537,17.823213863013994,57.3854665477732
12,17,5.8641124254936724e-09,6.589115825631849e-08,16.970562749769556,119.21505916186564,17.82321386301855,57.385466547776005
12,18,nan,nan,16.97056274976955,119.21505916186558,17.823213863018328,57.385466547775316
12,19,nan,6.16903658187496e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,20,1.8133641949145916e-08,6.762409445378429e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
13,2,nan,4.382456587661797e-08,18.384765790032077,129.03041108123094,19.308859121640715,62.12178318979079
13,3,1.032127658961921e-08,4.873987561390292e-08,18.384776287215693,129.1489726446553,19.30651576190859,62.167677073225285
13,4,nan,1.7642938503840166e-08,18.384776299518794,129.1496451615793,19.307728930065508,62.166296550072786
13,5,2.3150303526984544e-09,6.655363581124991e-08,18.384776299799732,129.14964743672232,19.307735073664468,62.16631236864649
13,6,nan,8.463121193539224e-08,18.384776298258863,129.14964744531852,19.307737579217505,62.16630379371638
13,7,2.341230771285002e-08,7.260842885842136e-08,18.384776300447484,129.1496474516453,19.30773759576229,62.16630376812793
13,8,nan,3.465257929323953e-08,18.384776299736373,129.1496474457368,19.307737597485474,62.1663037622348
