#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
1,2,nan,nan,0.999999999363458,4.442882936322858,1.2676661563096039,3.1786382480364193
1,3,5.561573710280687e-09,4.5072428608792696e-09,0.9094374917784602,7.273328578520045,1.1731976310486292,4.15461004793405
1,4,nan,nan,1.0792262537615012,7.000469079622055,1.224382191896002,3.9986545360922734
1,5,nan,nan,0.8917784708782421,4.662109987551977,1.189404080315741,3.296277826008965
1,6,nan,nan,1.8338755690464743,12.094242137827887,1.6868438828722705,5.247047942957374
1,7,nan,1.5027049193851016e-08,1.2842046583795528,8.6188462209647,1.413646434635489,4.404011892805104
1,8,1.7113029107148237e-08,6.237512411075783e-08,1.446489990798137,10.152588143081662,1.4864736701723278,4.821644404959895
1,9,nan,nan,1.4088574538075638,9.882922518084534,1.4645544654545242,4.758424454327306
1,10,4.893031540695179e-09,4.86089646120015e-08,1.4148970209539329,9.939579724428745,1.4733583334580853,4.756344313641547
1,11,1.6683474814363188e-08,2.6675784171904325e-08,1.414144591008635,9.933921915300141,1.4722423099115514,4.756658100274759
1,12,nan,1.4570385348536983e-08,1.414219216116106,9.934631433523961,1.4730498407224397,4.754906343862757
1,13,nan,6.029531112037724e-08,1.4142131767366957,9.934584502858135,1.4729767544898833,4.755036746933006
1,14,8.175749396487086e-09,nan,1.4142135849330522,9.934588437351174,1.4730382362076113,4.755030596091881
1,15,2.0527132664076886e-08,4.667989768432099e-08,1.4142135612630542,9.934588249245284,1.4730342980320736,4.755030741646076
1,16,1.3206600867325693e-08,nan,1.4142135633258828,9.934588261279364,1.4730348984577804,4.755037453292657
1,17,1.9801330081317253e-08,2.0466936616953477e-08,1.4142135618262512,9.934588270861306,1.4730348509813098,4.755037140218446
1,18,2.7682645140025313e-08,4.320209015786806e-08,1.4142135624417378,9.934588257808262,1.4730348333767729,4.755037360326039
1,19,1.7979354422616275e-08,nan,1.4142135626901173,9.93458826048351,1.4730348332694732,4.755037353035454
1,20,nan,4.572581288007685e-08,1.414213563812232,9.93458826220362,1.4730348332928889,4.755037353062843
2,2,2.295419680088247e-08,nan,4.0794577263476794,17.935516751093648,3.748711061750133,8.477785491228763
2,3,nan,1.5397659239906165e-08,2.137447554639812,12.132546452820828,2.727831563264101,7.241871083388625
2,4,nan,2.8434963658546392e-08,3.045265575654076,20.934286282146918,3.1038292695189336,9.764042557983545
2,5,6.550162404732731e-09,nan,2.8011041740384406,19.617573088120928,2.984363157388097,9.4344328011242
2,6,3.172465111069971e-08,nan,2.8307299204792558,19.883512570001812,2.971515009105731,9.547628696792207
2,7,nan,2.6903097039137254e-08,2.828291258275496,19.867915406299996,2.9707077484698545,9.541264195431342
2,8,nan,2.5037596713904983e-08,2.8284330689796136,19.869217276477798,2.9705184314599005,9.544370240800427
2,9,1.0752072383064858e-08,nan,2.8284269178318464,19.869174613795447,2.97051752137091,9.544209812992028
2,10,nan,nan,2.8284271280468714,19.869176578253725,2.9704870233642438,9.544327356350093
2,11,1.9408115152516992e-08,1.652193871594571e-08,2.828427120838461,19.869176509597686,2.970487593720344,9.544323617909384
2,12,2.6431323464031225e-08,nan,2.828427120650773,19.869176536590615,2.9704869048397433,9.54432542604516
2,13,nan,nan,2.8284271211655283,19.869176541244723,2.9704869136828806,9.544325391218335
2,14,4.2084407179628426e-08,nan,2.8284271215249475,19.86917653666669,2.9704868979756016,9.544325406929351
2,15,1.568705246638622e-09,2.0842185008486752e-08,2.8284271210298404,19.869176532509755,2.9704868979379144,9.544325404551522
2,16,2.983541916304904e-08,1.505510121366488e-08,2.828427122228981,19.869176538339424,2.970486898623562,9.544325408147198
2,17,nan,1.7884762830814508e-08,2.8284271222269974,19.869176538339424,2.9704868986118282,9.544325408147191
2,18,nan,1.924416806791547e-08,2.828427122226997,19.869176538339545,2.970486898611548,9.5443254081472
2,19,nan,1.864786739250302e-08,2.8284271222269965,19.869176538339538,2.970486898611548,9.544325408147197
2,20,2.364369491036396e-08,2.2066454535373063e-08,2.828427122226997,19.869176538339538,2.970486898611547,9.5443254081472
3,2,2.097600911796953e-08,nan,3.9489443839039704,24.20829723386266,4.436631497469233,12.344795862947542
