#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
1,2,nan,nan,0.999999999363458,4.442882936322858,1.2676661563096039,3.1786382480364193
1,3,4.530205434527715e-09,nan,0.9094374917784602,7.273328578520045,1.1731976310486292,4.15461004793405
1,4,nan,nan,1.0792262537615012,7.000469079622055,1.224382191896002,3.9986545360922734
1,5,8.54813241265676e-09,nan,0.8917784708782421,4.662109987551977,1.189404080315741,3.2962778260089647
1,6,nan,nan,1.8338755690464743,12.094242137827887,1.6868438828722703,5.247047942957374
1,7,3.6454798622330017e-09,5.296577311156935e-09,1.2842046583795528,8.6188462209647,1.413646434635489,4.404011892805104
1,8,6.002947244029294e-09,nan,1.446489990798137,10.152588143081662,1.4864736701723278,4.821644404959896
1,9,9.340715154856947e-09,nan,1.4088574538075638,9.882922518084534,1.4645544654545242,4.758424454327306
1,10,nan,nan,1.4148970209539329,9.939579724428745,1.4733583334580853,4.756344313641547
1,11,1.7823902002954507e-08,nan,1.414144591008635,9.933921915300143,1.4722423099115511,4.756658100274759
1,12,nan,6.079161841048722e-08,1.414219216116106,9.934631433523961,1.4730498407224397,4.754906343862757
1,13,9.276609945873856e-09,3.690757954452556e-08,1.4142131767366957,9.934584502858135,1.4729767544898833,4.755036746933006
1,14,nan,3.1544083292695826e-08,1.4142135849330522,9.934588437351174,1.4730382362076113,4.755030596091881
1,15,nan,nan,1.4142135612630542,9.934588249245284,1.4730342980320736,4.755030741646076
1,16,nan,5.051150316259339e-08,1.4142135633258828,9.934588261279364,1.4730348984577804,4.7550374532926565
1,17,6.728470826084853e-09,2.2142497771041132e-08,1.4142135618262512,9.934588270861306,1.4730348509813098,4.755037140218446
1,18,2.275509793682519e-08,nan,1.4142135624417378,9.934588257808262,1.4730348333767729,4.755037360326038
1,19,nan,3.2979122304623144e-08,1.4142135626901173,9.934588260483512,1.4730348332694727,4.755037353035454
1,20,nan,nan,1.414213563812232,9.934588262203622,1.4730348332928889,4.755037353062843
2,2,1.970069218823284e-08,nan,4.0794577263476794,17.935516751093648,3.748711061750133,8.477785491228763
2,3,nan,1.4468321756604625e-08,2.137447554639812,12.132546452820828,2.727831563264101,7.241871083388625
2,4,nan,2.6013615167612068e-08,3.045265575654076,20.934286282146918,3.1038292695189336,9.764042557983545
2,5,2.177738418294842e-08,3.4666559471115697e-09,2.8011041740384406,19.617573088120928,2.984363157388097,9.4344328011242
2,6,9.602789109127337e-09,nan,2.8307299204792558,19.883512570001812,2.971515009105731,9.547628696792207
2,7,2.5461635926743187e-08,2.239937555764009e-08,2.828291258275496,19.867915406299996,2.9707077484698545,9.541264195431342
2,8,nan,2.3903349095406857e-08,2.8284330689796136,19.869217276477798,2.9705184314599005,9.544370240800427
2,9,nan,nan,2.828426917831847,19.869174613795447,2.97051752137091,9.544209812992028
2,10,1.4929530174895632e-08,nan,2.8284271280468714,19.869176578253725,2.9704870233642438,9.544327356350093
2,11,nan,nan,2.8284271208384606,19.869176509597686,2.9704875937203434,9.544323617909384
2,12,2.9939810455732116e-08,nan,2.828427120650773,19.869176536590615,2.9704869048397433,9.54432542604516
2,13,2.289665294811323e-08,2.0092988159171354e-08,2.828427121165528,19.869176541244723,2.9704869136828806,9.544325391218335
2,14,nan,2.3655780596969915e-08,2.8284271215249475,19.86917653666669,2.970486897975601,9.544325406929351
2,15,nan,2.217312021959717e-08,2.8284271210298404,19.869176532509755,2.9704868979379144,9.544325404551522
2,16,nan,nan,2.828427122228981,19.869176538339424,2.970486898623562,9.544325408147198
2,17,2.8653541639738497e-08,1.0640470460632715e-08,2.828427122226997,19.869176538339424,2.9704868986118274,9.544325408147191
2,18,1.3716609786577373e-08,nan,2.828427122226997,19.869176538339545,2.970486898611548,9.5443254081472
2,19,2.4573247503227022e-08,2.841980960189443e-08,2.828427122226997,19.869176538339538,2.970486898611547,9.544325408147197
2,20,nan,1.3339502379977877e-08,2.828427122226997,19.869176538339538,2.970486898611547,9.5443254081472
3,2,2.3176226465320926e-08,nan,3.9489443839039704,24.20829723386266,4.436631497469233,12.344795862947542
3,3,1.0999416439679187e-08,nan,4.239238441895013,29.19252131048432,4.333320520194602,14.210062675032944
